product_code,product_name,stock,recent_months,recent_months_with_sales,recent_units_sold,recent_average_monthly_sales,recent_sales_stddev,months_with_data,annual_units_sold,average_monthly_sales,sales_stddev,recommended_order
9193755,"Zurim MG, 300 mg Blister 60",,"JUN, JUL_2, AGO_2",0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
9193730,"Zurim , 100 mg Blister 60 Unidade(s) Comp...[60]",5.0,"JUN, JUL_2, AGO_2",3,36.0,12.0,2.943920288775949,15,151.0,10.066666666666666,2.8394052585395806,12
9264010,"Zotinar, 1 mg/g-30 g x 1 creme bisnaga...[1]",3.0,"JUN, JUL_2, AGO_2",2,4.0,1.3333333333333333,1.247219128924647,8,15.0,1.0,1.1547005383792515,0
9317214,"Zotinar N, 1/3 mg/g-30 g x 1 creme bisnaga...[1]",1.0,"JUN, JUL_2, AGO_2",1,1.0,0.3333333333333333,0.4714045207910317,3,3.0,0.2,0.4,0
9378406,"Zotinar Capilar, 1 mg/mL-100 mL x 1 sol cut...[1]",1.0,"JUN, JUL_2, AGO_2",0,0.0,0.0,0.0,2,2.0,0.13333333333333333,0.339934634239519,0
5730098,"Zinasen, 10 mg x 60 comp...[60]",8.0,"JUN, JUL_2, AGO_2",2,3.0,1.0,0.816496580927726,8,16.0,1.0666666666666667,1.3888444437333107,0
5159199,"Terbinafina Atral MG, 250 mg x 28 comp...[28]",0.0,"JUN, JUL_2, AGO_2",0,0.0,0.0,0.0,1,1.0,0.06666666666666667,0.24944382578492946,0
5760061,"Sarix , 0.5 mg + 0.4 mg Frasco 30 Unidade(s) Caps...[30]",10.0,"JUN, JUL_2, AGO_2",3,16.0,5.333333333333333,0.4714045207910317,14,54.0,3.6,1.4047538337136984,0
9264309,"Rinerge, 0,5 mg/mL-10mL x 1 sol pulv nasal...[1]",1.0,"JUN, JUL_2, AGO_2",0,0.0,0.0,0.0,6,11.0,0.7333333333333333,0.9977753031397177,0
5760715,"Pravid , 30000 U.I. Blister 3 Unidade(s) Comp revest pelic...[3]",11.0,"JUN, JUL_2, AGO_2",3,38.0,12.666666666666666,3.39934634239519,15,130.0,8.666666666666666,4.4671641514002545,8
9817700,"Moderlax , 5 mg Blister 20 Unidade(s) Comp revest...[20]",22.0,"JUN, JUL_2, AGO_2",1,1.0,0.3333333333333333,0.4714045207910317,5,7.0,0.4666666666666667,0.7180219742846006,0
5879390,"Mirtazapina Psidep MG, 30 mg Blister 56 Unidade(s) Comp revest...[56]",19.0,"JUN, JUL_2, AGO_2",3,23.0,7.666666666666667,0.9428090415820634,15,125.0,8.333333333333334,2.8440972010268726,0
5850193,"Mirtazapina Psidep MG, 15 mg Blister 56 Unidade(s) Comp revest...[56]",14.0,"JUN, JUL_2, AGO_2",3,38.0,12.666666666666666,2.494438257849294,15,199.0,13.266666666666667,5.458530530788992,0
5204193,"Mirtazapina Psidep MG, 15 mg Blister 14 Unidade(s) Comp revest...[14]",0.0,"JUN, JUL_2, AGO_2",0,0.0,0.0,0.0,1,1.0,0.06666666666666667,0.24944382578492943,0
9301408,"Lisomucin, 2 mg/mL-15 mL x 1 sol oral gta...[1]",2.0,"JUN, JUL_2, AGO_2",2,2.0,0.6666666666666666,0.4714045207910317,9,12.0,0.8,0.8326663997864531,0
9278200,"Lisomucin, 1,6 mg/mL-200mL x 1 xar mL...[1]",1.0,"JUN, JUL_2, AGO_2",1,1.0,0.3333333333333333,0.4714045207910317,1,1.0,0.06666666666666667,0.24944382578492943,0
9908319,"Lentocilin S 2400, 2,4 MUI/6,5 mL x 1 pó + solv p/sol inj IM amp...[1]",4.0,"JUN, JUL_2, AGO_2",2,6.0,2.0,2.160246899469287,11,34.0,2.2666666666666666,1.8427033281447005,0
9908301,"Lentocilin S 1200, 1,2 MUI/4 mL x 1 pó + solv p/sol inj IM amp...[1]",3.0,"JUN, JUL_2, AGO_2",3,8.0,2.6666666666666665,1.699673171197595,11,34.0,2.2666666666666666,2.351358945139786,0
9828707,"Lentocilin 6.3.3, 4 mL x 1 pó + veíc susp inj...[1]",2.0,"JUN, JUL_2, AGO_2",3,3.0,1.0,0.0,7,22.0,1.4666666666666666,3.2013885876114583,0
5638895,"Ecamais, 10/12,5 mg x 60 comp...[60]",1.0,"JUN, JUL_2, AGO_2",1,1.0,0.3333333333333333,0.4714045207910317,8,10.0,0.6666666666666666,0.7888106377466155,0
5638994,"Ecamais , 20 mg + 12.5 mg Blister 60 Unidade(s) Comp...[60]",1.0,"JUN, JUL_2, AGO_2",2,2.0,0.6666666666666666,0.4714045207910317,7,9.0,0.6,0.7118052168020874,0
7552950,Diclodent Spray Oral 20Ml...[1],8.0,"JUN, JUL_2, AGO_2",1,1.0,0.3333333333333333,0.4714045207910317,2,2.0,0.13333333333333333,0.339934634239519,0
7550384,Diclodent AftaGel 15Ml 12A+...[0],5.0,"JUN, JUL_2, AGO_2",2,3.0,1.0,0.816496580927726,5,7.0,0.4666666666666667,0.7180219742846006,0
4881389,"Diclodent 0.074% Solução Bucal , 0.74 mg/ml Frasco 200 ml Sol bucal...[1]",8.0,"JUN, JUL_2, AGO_2",3,9.0,3.0,1.632993161855452,14,64.0,4.266666666666667,2.4073960113690385,0
5697321,"Diclodent 0.074% Solução Bucal , 0.74 mg/ml Frasco 100 ml Sol bucal...[1]",4.0,"JUN, JUL_2, AGO_2",2,4.0,1.3333333333333333,1.247219128924647,9,30.0,2.0,2.250925735484551,0
4646394,"Cipancin, 100 mg x 32 comp rev...[32]",2.0,"JUN, JUL_2, AGO_2",0,0.0,0.0,0.0,2,11.0,0.7333333333333333,2.4890872936792623,0
5833199,"Cipamox , 500 mg/5 ml Frasco 120 ml Po susp oral...[1]",10.0,"JUN, JUL_2, AGO_2",3,5.0,1.6666666666666667,0.4714045207910317,13,40.0,2.6666666666666665,1.8499249234015476,0
9371930,"Cipamox , 500 mg Blister 16 Unidade(s) Caps...[16]",10.0,"JUN, JUL_2, AGO_2",3,7.0,2.3333333333333335,1.247219128924647,14,43.0,2.8666666666666667,2.276449477195183,0
